제목,줄거리,줄거리_번역여부,최초방영일,작품유형,포스터,장르,networks,에피소드수,평점,인기도,주연배우,match_similarity
주군의 태양,인색하고 욕심 많은 유아독존 사장님과 음침하고 눈물 많은 영감 발달 여직원이 무섭지만 슬픈 사연을 지닌 영혼들을 위령하는 로코믹 호러 드라마,TRUE,2013-08-07,Scripted,https://image.tmdb.org/t/p/w500/6D22y9njJxP97tGxYWRILiysmFR.jpg,Sci-Fi & Fantasy|코미디|드라마,SBS,17,8,5.0855,소지섭|공효진|서인국|김유리|황선희,1
죽어도 좋아,안하무인 '백진상' 팀장과 그를 개과천선 시키려는 '이루다' 대리의 대환장 오피스 격전기를 담은 드라마,TRUE,2018-11-07,Scripted,https://image.tmdb.org/t/p/w500/jstdQSynXiaOI3JiQLFv2gbggw7.jpg,코미디,KBS2,32,6.75,3.7533,강지환|백진희|공명|류현경|김민재,1
중증외상센터,전장에서 경험을 쌓은 외과 전문의가 한국에 돌아온다. 뛰어난 실력으로 거침없이 돌진하는 그의 목표는 최고의 중증외상센터 건설. 그의 팀원들도 생명을 구하는 인재들로 성장해 간다.,TRUE,2025-01-24,Scripted,https://image.tmdb.org/t/p/w500/yCjhV8ss6L6wTezkhq5F5TIiyV4.jpg,드라마|코미디,Netflix,8,8.471,10.8254,주지훈|추영우|하영|윤경호|정재광,1
지고는 못살아,이혼 위기에 처한 변호사 부부의 이야기를 그린 로맨틱 코미디 드라마,TRUE,2011-08-24,Scripted,https://image.tmdb.org/t/p/w500/s1HDiuTKDZLwrrU4MKDXzff024H.jpg,,,18,0,0.4953,,1
지금 우리 학교는,좀비 바이러스 발생의 시발점이 된 고등학교. 이곳에 갇힌 학생들은 필사적으로 탈출구를 찾아야만 한다. 그렇지 않으면 감염되어 좀비가 될 뿐.,TRUE,2022-01-28,Scripted,https://image.tmdb.org/t/p/w500/d9yefq8dNke4UbuqStBtUcO9TxD.jpg,Action & Adventure|드라마|Sci-Fi & Fantasy,Netflix,12,8.284,27.5285,박지후|윤찬영|조이현|로몬|유인수,1
"지금, 헤어지는 중입니다",‘이별’이라 쓰고 ‘사랑’이라 읽는 달고 짜고 맵고 시고 쓴 이별 액츄얼리,TRUE,2021-11-12,Scripted,https://image.tmdb.org/t/p/w500/6lGzqEpdoYFp4seJyCQeRlSQPXa.jpg,드라마,SBS,16,6.2,4.1675,송혜교|장기용|최희서|김주헌|박효주,1
지금은 연애중,"호정은 엉뚱한 남자들과 만나면 종종 넘어지는 귀엽고 순진한 소녀다. 호정과 이웃인 규인은 모두 사랑에 있어서 이상주의자이다. 그들은 잘못된 발로 시작하여 서로를 형제처럼 대하고 끊임없이 싸우고 있습니다. 호정의 친구 차희는 규인을 좋아하고, 호정은 자신도 규인을 좋아하고 있음을 깨닫는다. 호정의 동생인 호재는 신체적 특징이 좋은 선수이다. 호재는 외모는 없지만 인품과 지능이 좋은 호정의 친구 수지에게 반하면서 상황이 복잡해지기 시작한다.",TRUE,2002-01-16,Scripted,https://image.tmdb.org/t/p/w500/kCNDmOv8orSXY7UvhZQKori7mCY.jpg,드라마,SBS,16,6,1.3021,권상우|채림|소지섭|최윤영,1
지배종,인간이 동물의 세포를 배양해서 만들어내는 배양육만을 먹는 시대를 배경으로 한다. 배양육 시장을 장악한 생명공학 기업 BF 대표의 행적에 의문을 품은 이들이 속속 생겨나며 시작되는 이야기.,TRUE,2024-04-10,Scripted,https://image.tmdb.org/t/p/w500/rpCuKssTo2Gs949iJnVK23vr2Oz.jpg,Sci-Fi & Fantasy|드라마,Disney+,10,6.712,4.7551,주지훈|한효주|이희준|이무생|전석호,1
지옥,"어느 날 기이한 존재로부터 지옥행을 선고받은 사람들. 지옥으로부터의 고지를 받은 자는 어김 없이 예정된 시간에 지옥의 사자들에게 끌려가는 일이 서울 한복판에서 모두가 지켜보는 가운데 일어난다. 충격과 두려움에 휩싸인 도시에 대혼란의 시대가 도래한 가운데, 신흥 종교 단체 새진리회의 의장 정진수는 이것이 진정으로 현실 세계에서 일어나고 있는 신의 집행임을 사람들에게 설파한다. 한편 일부는 새진리회에 맞서 싸우며 사건의 실체를 밝히려 한다.",TRUE,2021-11-19,Scripted,https://image.tmdb.org/t/p/w500/sgTu75c5PJsRHDMSna0ha8bhYWn.jpg,드라마|미스터리|Sci-Fi & Fantasy,Netflix,6,7.32,10.135,유아인|김현주|양익준|김신록|박정민,1
진검승부,"부와 권력이 만든 성역, 그리고 그 안에 살고 있는 악의 무리들까지 시원하게 깨부수는 불량 검사 액션 수사극. 검찰 역사에 다시없을 꼴통 불량검사 진정. 하루하루 보잘것없는 사건들만 처리하던 그에게 어느 날 서초동 살인사건이 배당된다. 피의자는 20대 택배기사 김효준. 하지만 정은 그가 범인이 아니라는 것을 직감, 검찰 모두가 김효준을 기소하라는 와중에 홀로 사건을 파헤치기 시작하는데...",TRUE,2022-10-05,Scripted,https://image.tmdb.org/t/p/w500/9dHph3aTNdpgT2ZRytGeLQuJckF.jpg,Action & Adventure|드라마,KBS2,12,6.667,3.8009,도경수|이세희|하준|김상호|이시언,1
진실,"고교 동창 자영과 신희의 사랑, 우정에 대한 이야기",TRUE,2000-01-05,Scripted,https://image.tmdb.org/t/p/w500/vqCoKGwghxW4UpClbekKzRkY8fZ.jpg,드라마,MBC,16,7,2.4135,최지우|박경림|김창숙|박선영|김현수,1
