제목,줄거리,줄거리_번역여부,최초방영일,작품유형,포스터,장르,networks,에피소드수,평점,인기도,주연배우,match_similarity
#좋맛탱: 좋은 맛에 취하다,"스무살 그 이름만으로도 찬란한 나이. 처음으로 어른이 된 것 같아 교복 입을 아이들을 보고 으스대더라도, 진짜 잘난 것 같은 어른들을 보면 나도 모르게 주눅이 들고 마는. 그래도 떠올려보면, 늘 설레고 풋풋한 마음이 가득한 시절. 그리고 여기, 그 ‘스무살’을 닮은 동네가 있다. 바로 연남동이다. 홍대보다는 조금 더 감성적이고, 연희동보다는 조금 더 감각적인 곳! 이 ‘연남동’에서 스무살 두 남녀가 만난다. 연남동에서 스무살을 맞이한 충남과 연남의 풋풋한 이야기. 달콤한 디저트처럼, 달다구리한 로맨스로 거듭날 수 있을까?",TRUE,2018-12-24,Scripted,https://image.tmdb.org/t/p/w500/7mXqtzH9wraa4tSuNzXiVahWFZL.jpg,드라마,tvN,10,2.6,3.9498,노을|지화섭|김민규|김향기|이유영,1
(아는 건 별로 없지만) 가족입니다,"평생 일에 치여 가족과 거리감을 느끼는 아버지 상식은 등산을 떠나고 묵묵히 살림을 하며 지내온 어머니 진숙은 큰딸 은주와 둘째 은희, 막내 지우에게 폭탄선언을 한다. 자식들은 엄마의 결정에 혼란스럽고 은주는 상식에게 전화를 하지만 연락이 되지 않는다. 출판사일로 명상원을 찾은 은희는 5년전 절교한 찬혁을 만나게 되는데...",TRUE,2020-06-01,Scripted,https://image.tmdb.org/t/p/w500/zP0tEXW21KAlsDdTsKjXiHy1T4Y.jpg,드라마,tvN,16,7.3,3.6383,신재하|한예리|김지석|추자현|정진영,1
1%의 어떤것,안하무인 재벌 호텔리어와 초등학교 선생님의 유산 상속을 둘러싼 좌충우돌 바른 생활 로맨스,TRUE,2016-10-05,Miniseries,https://image.tmdb.org/t/p/w500/nexRfQ5Blp0TJ3CjQWEAMK0ko4P.jpg,코미디|드라마,Dramax,16,7.2,3.7992,하석진|전소민|임도윤|이해인|김선혁,1
18 어게인,"2001년 고등학생 대영은 국가대표 농구선수를 목표로 하고 있는 유망주, 농구밖에 모르는 그가 어린 다정에게 첫눈에 사랑에 빠진다. 두 사람은 연인으로 발전하고 뜻하지 않은 임신으로 쌍둥이의 부모가 됐다. 18년 후 꿈을 포기하고 열심히 살아온 대영에게 다정은 이혼을 요구한다. 대영은 자포자기하는 마음으로 체육관에서 공을 던지는데 갑자기 정전이 됐다, 그때부터 사람들이 대영을 학생이라고 부르기 시작하는데…",TRUE,2020-09-21,Miniseries,https://image.tmdb.org/t/p/w500/djWxHGEz6RCGf68mmJxf4igj4n6.jpg,드라마|코미디|Sci-Fi & Fantasy,JTBC,16,8.345,6.7115,이도현|김하늘|윤상현|노정의|려운,1
20세기 소년소녀,"진진(한예슬), 아름(류현경), 영심(이상희)은 ‘봉고파’ 친구들이다. 톱스타 진진은 예능 촬영을 위해 홍콩으로 떠나고, 투자전문가 지원(김지석)은 고향인 한국으로 돌아갈 채비를 한다. 한편 돌아오는 공항에서 진진은 본인의 충격적인 스캔들을 듣게 되는데…",TRUE,2017-10-09,Scripted,https://image.tmdb.org/t/p/w500/uJkpZsWZ0zHddColxLQh3ONXnTZ.jpg,코미디,MBC,32,6.182,5.2209,김지석|한예슬|이상우|류현경|이상희,1
24시 헬스클럽,'헬치광'이 된 관장 도현중이 근심이 과다한 헬린이 회원들의 인생을 교정하며 펼쳐지는 두근두근 근(筋) 성장극,TRUE,2025-04-30,Miniseries,https://image.tmdb.org/t/p/w500/d6SubGZP1j0m5gNurPEizxzuzFR.jpg,드라마|코미디,KBS2,12,7.563,4.5603,이준영|정은지|이미도|이다은|박성연,1
365: 운명을 거스르는 1년,"과거로 돌아가 인생을 반복해서 살 수 있는 '리셋'의 기회를 얻은 사람들. 꿈만 같은 시간을 보내던 그들에게 예측불허의 일들이 펼쳐진다. 과거를 바꾸기 시작하면서 그들 앞에는 예측불허한 일들이 펼쳐진다. '리셋'의 대가를 치르라는 듯, 차례로 찾아오는 죽음의 그림자. 살아남은 사람들은 생존을 위해 사건을 추적하기 시작하는데...",TRUE,2020-03-23,Miniseries,https://image.tmdb.org/t/p/w500/hivTCkAfb2tc5RhlnJl3j37KsRI.jpg,미스터리|드라마,MBC,24,7.5,4.7577,이준혁|남지현|김지수|양동근|이시아,1
38사기동대,"세금 징수 공무원과 사기꾼이 합심하여, 편법으로 부를 축적하고 상습적으로 탈세를 저지르는 악덕 체납자들에게 세금을 징수하는 통쾌한 스토리를 다룬 드라마",TRUE,2016-06-17,Scripted,https://image.tmdb.org/t/p/w500/cyNV8rpUnM05HXnQDb2uUwe2MGD.jpg,범죄|코미디,OCN,16,7.8,3.6074,마동석|서인국|최수영|송옥숙|고규필,1
49일,"사고로 모든 것이 무너지고 혼수상태에 빠진 그녀에게, 하늘에서 내려온 사신이 두 번째 기회를 건넨다. 하지만, 거기에는 조건이 있는데.",TRUE,2011-03-16,Scripted,https://image.tmdb.org/t/p/w500/2x1caDew3bVVzvzsB5rcripUMuz.jpg,드라마|Sci-Fi & Fantasy,SBS,20,8.094,4.4557,배수빈|이요원|남규리|조현재|정일우,1
"60일, 지정생존자","대통령의 국정 연설이 열리던 국회의사당이 갑작스러운 폭탄 테러 공격을 받아 붕괴되고, 대통령도, 국무총리도, 국회의장도, 국무위원들도 한날 한시에 사라져 버렸다. 국무위원 중 유일하게 생존한 환경부 장관이 승계서열에 따라 60일간의 대통령 권한대행으로 지정된다. 한반도를 둘러싼 군사적 긴장은 한발 한발 레드라인에 다가서고 권력의 공백을 허락할 수 없는 국내 정치판은 요동치기 시작하는데...",TRUE,2019-07-01,Scripted,https://image.tmdb.org/t/p/w500/fpRC1zhGOx3nvtkWb9Nrl6EZpwB.jpg,드라마|범죄|미스터리|War & Politics,tvN,16,7.804,4.2339,지진희|허준호|이준혁|강한나|배종옥,1
7급 공무원,"영화 7급공무원을 드라마로 리메이크한 작품.

모든것이 비밀인 국정원 직원 한길로 와 김서원

서로를 진심으로 사랑하지만 입만 열면 거짓말을 해야 하는 상황..

그런 사랑이 가능할까?

불가능할것 같았던 사랑을 가능으로 바꾸는 과정은 지난하다.

풋내기 신입 요원이 정예요원으로 성장하면서

그들은 요원의 자격과 함께 애인의 자격을 함께 가쳐간다.",TRUE,2013-01-23,Scripted,https://image.tmdb.org/t/p/w500/9x5cAQNdbekri1SogT5BawESRyI.jpg,Action & Adventure|코미디|드라마,MBC,20,7.1,3.2428,최강희|주원|안내상|황찬성|변승윤,1
7인의 탈출,"수많은 사람들의 거짓말과 욕망이 뒤엉켜 사라진 한 소녀. 그 소녀를 찾기 위한 거대 프로젝트가 시작된다! 그리고 소녀의 실종에 연루된 7인 앞에 펼쳐진 믿을 수 없는 사건들, 이들은 이 위기를 어떻게 탈출할 것인가?",TRUE,2023-09-15,Scripted,https://image.tmdb.org/t/p/w500/zfO0GgcdSqHKgz3nIxe7xAPrFLn.jpg,드라마|미스터리,SBS,17,7,11.5514,엄기준|황정음|이준|이유비|신은경,1
7일의 왕비,"단 7일, 조선 역사상 가장 짧은 시간동안 왕비 자리에 앉았다 폐비된 단경왕후 신씨와 중종의 로맨스를 그린 드라마",TRUE,2017-05-31,Miniseries,https://image.tmdb.org/t/p/w500/dQStvwjNeuXE7SwxzlFBRAs3uMe.jpg,드라마,KBS2,20,6.2,3.9062,박민영|연우진|이동건|장현성|강신일,1
99억의 여자,"우연히 현찰 99억원을 움켜쥔 여자가 세상과 맞서 싸우는 이야기를 담은 작품. 매주 많은 사람들이 로또를 산다. 인생 역전을 실현시켜 줄 6개의 번호. 하지만 당첨 확률은 희박하다. 막연한 꿈은 다음 주로 이어질 뿐. 희망없는 삶을 버텨가던 한 여자에게 로또 따위 비교되지 않는 기회가 찾아온다. 주인 잃은 현찰 99억 원! 망설임없이 그 돈을 움켜쥐지만 그때부터 지옥도가 펼쳐진다. 사랑, 우정, 양심... 그 모든 명분을 압도하는 탐욕스런 복마전! 평생 뼈저리게 고독했고, 누구에게도 사랑받지 못했던 여자가 99억을 지키는 싸움을 통해 스스로 강해지고, 거듭나는 이야기를 쓰려 한다.",TRUE,2019-12-04,Scripted,https://image.tmdb.org/t/p/w500/lEdl3RHYk2h4nONG0jcLtD6qdRx.jpg,범죄|드라마,KBS2,32,5.9,4.3147,조여정|김강우|정웅인|오나라|이지훈,1
9회말 2아웃,"야구는 인생과 닮아있다. 위기 뒤에는 반드시 찬스가 온다는 그 흐름의 미학. 찬스는 4번 타자의 쭉 뻗는 홈런에서 올 수도 있지만 상대의 어이없는 실책 하나에서 흐름이 말도 안 되게 뒤집혀버리기도 한다. 나맘ㄴ의 필살리고 승부를 해야 하는 순간이 있는가 하면 보내기 번트, 희생플라이, 고의사구처럼 현재를 희생해 뒷일을 도모해야 하는 순간도 온다. 투수는 타자를 끊임없이 속이고, 타자는 그 속임 안에서 타이밍을 잡아채야 한다. 경기가 진행되는 동안 한 순간도 긴장의 끈을 놓을 수가 없다. 매회 매 순간 어떤 실투가 어떤 스윙이 어떤 수비실수가 경기 전반을 망쳐버릴지 모를 일이기때이다. 

이 드라마는 30대에 접어드는 우리들의 이야기이다. 30대의 우리는 9회말 2아웃에 놓여있다. 물론 7회쯤 굳히기 타점을 뽑아내고 느긋하게 인생을 즐기고 있는 30대도 있겠지만 대체로 그러하지 못하다. 온갖 찬스와 시련을 반복해 오며 어찌어찌 경기를 끌어온 우리. 사랑에 지치고 희망에 배신당하고 냉혹한 사외에 당황하면서 몸도 마음도 만신창이가 되어 9회 말에 들어선다. 

첫 번째 타석은 주춤거리는 사이 놓쳐버렸고, 두번째 타석은 성급하고 무모한 스윙으로 허무하게 날아가 버렸다. 이미 체력도 바닥이 났고, 놓쳐버린 수많은 찬스를 무위로 돌려버린 후회가 머릿속을 온통 어리럽힌다. 전화에 맞은 데드볼로 타석에 바짝 다가서기조차 두렵지만 그렇다고 희망을 버릴 수도 없는 노릇이다. 100% 희망이 없어질 때까지 포기할 수 없는 것이 야구이고, 100% 희망이 없어졌다 해도 살아야 하는 것이 인생의 잔인함이다.",TRUE,2007-07-14,Scripted,https://image.tmdb.org/t/p/w500/u1ToG0tmD4M2DBn32oayRmFdWRl.jpg,코미디|로맨스,MBC,16,7.704,3.0848,수애|이정진|이태성|황지현|이상우,1
D.P.,탈영병을 잡는다. 이등병 준호에게 떨어진 새로운 임무. 그는 탈영병들을 추적하며 지독하게 고통스러운 현실을 마주한다. 그리고 아무리 도망쳐도 벗어날 수 없다는 것도 알게 된다.,TRUE,2021-08-27,Scripted,https://image.tmdb.org/t/p/w500/ufovksqVTNogMdU5LlCVbJSiMVa.jpg,드라마|Action & Adventure|범죄,Netflix,6,8.009,11.4041,정해인|구교환|김성균|손석구|이설,1
DNA러버,수많은 연애를 실패한 유전자 연구원 한소진이 마침내 유전자를 통해 자신의 짝을 찾아가는 오감발동 로맨틱 코미디,TRUE,2024-08-17,Scripted,https://image.tmdb.org/t/p/w500/zOe1qZUqYUaMAS0vedSrBuFxhOH.jpg,코미디|드라마,TV Chosun,16,3,3.7789,정인선|최시원|이태환|정유진|이시훈,1
LTNS,성적 욕망으로 불타올라 서로의 육체를 탐하던 시기는 속절없이 과거로 흘러가고 우진과 사무엘은 이제 육체적으로도 정서적으로도 다소 시들해진 부부 사이가 되었다. 바로 이 부부가 우연한 동기 끝에 불륜 커플 전문 협박단으로 거듭나 인생 역전의 기회를 노린다.,TRUE,2024-01-19,Miniseries,https://image.tmdb.org/t/p/w500/f71Tlsx9bl3UZvWqFynSpa7nGcl.jpg,코미디|드라마,TVING,6,7.5,14.1071,이솜|안재홍|이학주|김새벽|박주용,1
SF8,가까운 미래를 배경으로 기술발전을 통해 완전한 사회를 꿈꾸는 인간들의 이야기를 그린 영화와 드라마의 크로스오버 작품,TRUE,2020-08-14,Scripted,https://image.tmdb.org/t/p/w500/7uNR21ymUossQLYzCT0mlvLLFhH.jpg,Sci-Fi & Fantasy,MBC|wavve,8,6.9,4.5847,하준|이시영|하니|신소율|김보라,1
SKY 캐슬,"대한민국 최고의 명문사립 주남 대학교. 그 대학이 서울 근교의 숲속에 세운, 대학병원 의사들과 판· 검사 출신의 로스쿨 교수들이 모여 사는 유럽풍의 4층 석조저택 단지에서 명예, 권력을 모두 거머쥔 대한민국 상위 0.1%의 남편들과 함께 제 자식을 천하제일의 왕자와 공주로 키우고 싶은 명문가 출신의 사모님들은, 자녀들의 대학입시를 어떻게 준비할까? 3대째 의사가문, 법조인 가문을 만들어 내기 위한 그녀들만의 치열한, 철저한, 처절한 몸부림. 그 필사(必死)의 욕망이 꿈틀대는 내밀한 속을 샅샅이 들여다보는 리얼 코믹 풍자극.",TRUE,2018-11-23,Scripted,https://image.tmdb.org/t/p/w500/zpH8PTBJiKsJIzjSL9d3gJ3kAEM.jpg,코미디|드라마,JTBC,20,8.019,8.6098,염정아|윤세아|이태란|김서형|오나라,1
THE K2,"전쟁 용병 출신의 보디가드 K2와 그를 고용한 대선 후보의 아내, 그리고 세상과 떨어져 사는 소녀! 로열패밀리를 둘러싼 은밀하고 강렬한 보디가드 액션 드라마",TRUE,2016-09-23,Scripted,https://image.tmdb.org/t/p/w500/qz0hRqKlNNOS15tqdqB1qUyMQMl.jpg,Action & Adventure|드라마|범죄,tvN,16,7.892,10.5494,지창욱|송윤아|윤아|조성하|김갑수,1
VIP,"백화점 상위 1% VIP 고객을 관리하는 전담팀 사람들의 비밀스러운 프라이빗 오피스 멜로. 숨기고 싶은 비밀 하나 가지지 않은 사람이 있을까? 사람은 누구나 타인에게 자신의 취약함을 들키기 싫어한다. 상처를 감추고 싶은 본능. 그게 비밀이 만들어지는 메커니즘 중 하나다. 그리하여, 많은 비밀이 아픔을 동반한다. 이 드라마의 인물들 또한 그렇다. 겉으로 보기엔 아무 문제없이 잘살고 있는 것처럼 보이는 그들. 하지만 그들 한 켠엔 말 못할 비밀 하나씩이 자리 잡고 있다. 그리고 결국, 감추고 싶었던 비밀이 드러났을 때 아이러니하게도 그들은 비로소 공감과 위로를 얻게 된다. 진짜 서로를 이해하고 보듬게 된다. 그러니까 이 이야기는 비밀에 관한 이야기지만 결국 위로와 치유에 관한 이야기이기도 하다.",TRUE,2019-10-28,Scripted,https://image.tmdb.org/t/p/w500/238QU0BysJ5Jh0MG8VWZJDYw0AV.jpg,미스터리|드라마,SBS,16,6.5,3.8801,장나라|이상윤|이재원|신재하|이청아,1
W(더블유),"2016년 서울, 같은 공간 다른 차원을 교차하는 사건의 중심에 선 냉철한 천재 벤처재벌 강철과 활달하고 정 많은 외과의사 오연주가 펼치는 로맨틱 서스펜스 멜로 드라마",TRUE,2016-07-20,Scripted,https://image.tmdb.org/t/p/w500/jtBo40RgHzihmYYzzqkPOXyux8.jpg,드라마|코미디,MBC,16,8.4,9.3996,이종석|한효주|정유진|이태환|이시언,1
가슴이 뛴다,"100년 중 하루 차이로 인간이 되지 못한 반인뱀파이어 선우혈과 인간미라고는 찾아볼 수 없는 여자 주인해가 어쩌다 동거를 시작하며, 진정한 온기를 찾아가는 아찔한 목숨 담보 공생 로맨스",TRUE,2023-06-26,Miniseries,https://image.tmdb.org/t/p/w500/5pcU26JKPTVBZofYrUmGWmuNhZt.jpg,드라마|코미디|미스터리|Sci-Fi & Fantasy,KBS2,16,7.149,5.3425,옥택연|원지안|윤소희|박강현|고규필,1
가시리잇고,"우륵, 왕산악과 함께 3대 음악 천재로 알려진, 과거에서 온 27세 천재 뮤지션 '박연'과 22세 버스킹 소녀 '민유정', 과거의 악사이자 현재의 인기 아이돌 24세 '이원', 과거 신녀이자 현재 엔터테인먼트 실장 23세 '도영' 등을 중심으로 20대 눈부신 청춘들의 사랑과 꿈을 담은 판타지 뮤직 로맨스",TRUE,2021-02-26,Scripted,https://image.tmdb.org/t/p/w500/8FvS9a8Q3JqAjlXWYnlCRuxRTUC.jpg,드라마,Seezn,8,3.8,1.521,강찬희|박정연|이승협|지안,1
가족x멜로,11년 전에 내다 버린 아빠가 우리 집 건물주로 컴백하며 벌어지는 피 튀기는 패밀리 멜로,TRUE,2024-08-10,Scripted,https://image.tmdb.org/t/p/w500/yGZVMv16qNurDXWOi67oPmp2IrE.jpg,가족|드라마,JTBC,12,7.821,4.1552,지진희|김지수|손나은|민호|윤산하,1
가족계획,기억을 자유자재로 편집할 수 있는 특수한 능력을 가진 엄마가 가족들과 합심하여 악당들에게 지옥을 선사하는 이야기,TRUE,2024-11-29,Scripted,https://image.tmdb.org/t/p/w500/3Ee1rjX1aycWOHQux9rzLMVWNnt.jpg,드라마|범죄|코미디|미스터리,Coupang Play,6,7.975,5.5095,배두나|류승범|백윤식|로몬|이수현,1
가족끼리 왜 이래,자식들만을 바라보며 살아온 '자식 바보' 아빠가 이기적인 자식들을 개조하기 위해 고육지책으로 내놓은 불효 소송을 중심으로 가족이기에 당연하게 여겼던 고마움과 미안함을 전하는 가족 드라마,TRUE,2014-08-16,Scripted,https://image.tmdb.org/t/p/w500/lgIFzPOTRVcTPwfx7HvpuPpDTJM.jpg,드라마|코미디,KBS2,53,7.8,3.7353,유동근|김현주|김상경|윤박|박형식,1
각시탈,삶의 지친 우리들에게 시원한 한방을 선사할 한국판 슈퍼히어로 각시탈의 대활약을 그려낼 드라마. 이름없는 영웅의 운명을 택했기에 목숨같은 사랑을 버려야 했던 남자. 그리고 그를 지키려했던 여자의 영영 사무칠 애절한 사랑 이야기.,TRUE,2012-05-30,Scripted,https://image.tmdb.org/t/p/w500/vvP14Azuf5vaNbMSkTA3ZsEflYx.jpg,드라마,KBS2,28,7.522,3.7996,주원|진세연|박기웅|한채아|신현준,1
간 떨어지는 동거,999살 구미호 신우여와 쿨내나는 요즘 여대생 이담이 얼떨결에 한집 살이를 하며 펼치는 977살 세대극복 로맨틱코미디.,TRUE,2021-05-26,Miniseries,https://image.tmdb.org/t/p/w500/z5hWZAnMnvVJS8K6NNrbUbl8W29.jpg,드라마|Sci-Fi & Fantasy,tvN,16,8.155,6.8616,장기용|이혜리|배인혁|강한나|김도완,1
간택 - 여인들의 전쟁,"간택은 그 시절의 서바이벌 오디션인 셈이다. 그러나 ,  등  대부분의 문헌은 오직 왕실의 입장에서 쓰인 점잖은 기록.

역사가 담아내지 않은 날것의 19세기 여인들은 과연 어떤 모습이었을까?

그런 상상에서 이야기는 시작된다.",TRUE,2019-12-14,Scripted,https://image.tmdb.org/t/p/w500/pse4QCGMBSFeCY6yQ84qaO99wrU.jpg,드라마,TV Chosun,16,4.6,3.5319,진세연|김민규|이열음|도상우|손병호,1
감사합니다,"횡령, 비리, 사건사고가 끊이지 않는 건설회사 감사팀,

회사 갉아먹는 쥐새끼들 소탕하러 온 이성파 감사팀장 신차일과 감성파 신입 구한수의 본격 오피스 클린 활극",TRUE,2024-07-06,Scripted,https://image.tmdb.org/t/p/w500/ogzR8jhg8T4t4RmjcriPFU8wkPR.jpg,범죄|드라마,tvN,12,7.765,3.6006,신하균|이정하|진구|조아람|정문성,1
감자연구소,산골짜기 감자연구소를 배경으로 한 병맛 로맨스 코미디 드라마로 약간 나사 빠진 어른들의 하나도 안 풋풋한 로맨스,TRUE,2025-03-01,Scripted,https://image.tmdb.org/t/p/w500/8OQZwmjD81uDk27ICiSbJZeGOrM.jpg,코미디|드라마,tvN,12,7.71,4.6701,이선빈|강태오|이학주|김가은|신현승,1
갑동이,화성연쇄살인사건을 모티프로 한 일탄 연쇄살인사건을 다룬 범죄수사 드라마,TRUE,2014-04-11,Scripted,https://image.tmdb.org/t/p/w500/5ulmGI4lABXPdDji9WN8sGmYE7x.jpg,범죄|드라마|미스터리,tvN,20,6.4,4.4825,정인기|조민준|윤상현|김민정|성동일,1
강남 비-사이드,"강남 클럽 에이스 재희가 사라지자 사건 해결을 위해 돌아온 형사 강동우와 신분 상승의 기회로 이 사건을 쫓는 검사 민서진, 용의선상에 스스로 오른 강남의 무법자 윤길호가 서로 다른 이유와 목표로 실종사건 이면에 숨은 거대 커넥션의 실체를 쫓기 시작한다.",TRUE,2024-11-05,Scripted,https://image.tmdb.org/t/p/w500/hgBuEB1rVVWDlH9hpPzreViES3j.jpg,범죄|드라마|미스터리,Disney+,8,7.401,9.489,조우진|지창욱|하윤경|비비|정재광,1
강매강,"검거율 꼴찌 송원서 강력 2팀은 잠복수사 실패 후 반장은 쫓겨나고, 사무실은 폐업한 어린이집으로 이전된다. 그런 강력 2팀 앞에 나타난 새로운 반장 동방유빈. 처음엔 유빈에게 의구심을 갖지만, 함께 사건들을 해결하면서 점점 서로에 대한 믿음이 쌓이며 진정한 한 팀으로 거듭난다.",TRUE,2024-09-11,Scripted,https://image.tmdb.org/t/p/w500/8IYJeVbJbgZyQ7FAhI2gHpapqa3.jpg,코미디|범죄|드라마,Disney+,20,8.545,9.6217,김동욱|박지환|서현우|박세완|이승룡,1
개소리,개의 목소리를 듣게 된 원로 배우가 수상한 사건을 해결하는 과정을 다룬 이야기.,TRUE,2024-09-25,Scripted,https://image.tmdb.org/t/p/w500/vxjzR33qgBQXtvFdSNZA0oSo9hJ.jpg,코미디|드라마,KBS2,12,7.8,2.2188,이순재|배정남|김용건|예수정|임채무,1
개인의 취향,발칙한 가짜 게이와 연애 쑥맥 엉뚱녀의 대담하고 솔직 담백한 동거일기를 그린 트렌디 드라마다. 게이 남자친구를 사귀고 싶어하는 한 여자의 룸메이트가 되기 위해 졸지에 게이가 돼버리는 에피소드를 담은 작품이다.,TRUE,2010-03-31,Miniseries,https://image.tmdb.org/t/p/w500/yntvGKccVJka8qa2Ml8KG6qap2V.jpg,코미디|드라마,MBC,16,7.847,4.1694,손예진|이민호|안석환|류승룡|임슬옹,1
개인주의자 지영씨,"타인과의 관계를 끊고 완벽한 개인주의자로 살던 여자가 타인과의 관계없이 못 사는 의존적인 남자를 만나 서로를 치유하고 기울어진 삶을 바로잡게 되는 코믹 로맨스 심리극.불행해지지 않기 위해, 상처받지 않기 위해스스로 행복해질 기회마저 차단해버린 요즘 세대를 위한 힐링 로맨스!",TRUE,2017-05-08,Miniseries,https://image.tmdb.org/t/p/w500/koQ9dzbgqBZaC4mvjjwjcIRZun5.jpg,드라마|코미디,KBS2,2,7.9,2.3797,민효린|공명|오나라|지일주|장희령,1
갯마을 차차차,"현실주의 치과의사 윤혜진과 만능 백수 홍반장이 짠내 사람내음 가득한 바닷마을 공진에서 벌이는 티키타카 힐링 로맨스. 대도시 생활을 접은 치과의사가 바닷가 마을에서 병원을 개업한다. 끈끈하기 그지없는 이 동네, 그곳에서 만난 만능 백수 히어로. 모든 면에서 그녀와 정반대를 달리는데, 은근히 매력이 넘친다?",TRUE,2021-08-28,Miniseries,https://image.tmdb.org/t/p/w500/ub2ZaobABSYtkWKaEycWmMjkorP.jpg,코미디|드라마,tvN,16,8.202,11.0299,신민아|김선호|이상이|공민정|김영옥,1
거래,"준성과 재효는 오랜만에 고교 동창 민우를 만나 밤새 술을 마신다. 다음 날 아침 재효는 자신도 모르게 민우 엄마에게 전화로 이렇게 말한다. “당신 아들을 데리고 있습니다. 10억 준비하세요.” 의대생인 재효는 커닝을 했다는 이유로 퇴학당할 위기에 놓였고, 준성은 입대 전에 진 사채가 어마어마하게 불어나 앞날이 막막하다. 그 둘이 범죄를 저지르게 된다. 한편 옆집에 사는 경찰 준비생 수안은 둘을 의심하게 된다.",TRUE,2023-10-06,Miniseries,https://image.tmdb.org/t/p/w500/jg4sh6Ylb0WoVwH87OAzmvyODX0.jpg,범죄|드라마,wavve,8,7.8,2.8145,유승호|김동휘|유수빈|이주영|백지원,1
건빵선생과 별사탕,"일진회를 비롯한 학교의 문제아들은 어떤 면에서, 우리 사회가, 우리네 가정들이 이렇게 아프다고, 이렇게 병들어 있다고, 온몸으로 질러대는 비명은 아닐까? 여기, 고교시절에 문제 행동으로 학교 밖으로 조기에 격리됐다가 세상 모진 풍파를 다 겪고 마침내 모교의 선생이 되어 돌아오는 한 여자가 있다. 학교의 문제아들을 대하는 그녀의 문제적 행동(교육)을 통해 우리 학교와 가정과 사회의 상처를 따뜻하게 끌어안아보고자 한다.",TRUE,2005-04-13,Scripted,https://image.tmdb.org/t/p/w500/fyyZs76k5xqGi29lZJWYCOVyui5.jpg,드라마,SBS,16,6.7,2.1095,공효진|공유|김대현|최여진|서준영,1
검법남녀,"모든 접촉은 흔적을 남긴다! 범죄에도, 그리고 인생에도. 그리하여 완전 범죄란 없다. 그러나 그들의 공조는 완전하다. 피해자를 부검하는 괴짜 법의학자와 가해자를 수사하는 초짜 검사의 아주 특별한 공조가 펼쳐진다. 완벽주의에 괴팍한 성격을 가진 법의학자인 백범과 포토메모리 능력을 가졌지만 허당미 가득한 검사 은솔의 공조 수사를 다룬 드라마.",TRUE,2018-05-14,Scripted,https://image.tmdb.org/t/p/w500/w3vY4iqn1Go7zsoRCKqRfGXTPDq.jpg,드라마|미스터리|범죄,MBC,32,7.182,10.287,정재영|정유미|박은석|이이경|안석환,1
검사 프린세스,"금수저 출신으로 곱게 자란 철부지 여자. 사법고시를 한방에 패스하고 손쉽게 검사가 되지만, 곧 초임 검사로서 배워야 할 것이 많다는 사실을 깨닫는다.",TRUE,2010-03-31,Scripted,https://image.tmdb.org/t/p/w500/66jTeM1uR7gEi6a4AB93kKnjdyU.jpg,드라마,SBS,16,6.3,2.4937,김소연|박시후|한정수|최송현|민영원,1
검색어를 입력하세요 WWW,"10대부터 60대까지 검색을 안 해 본 사람은 없다. 포털에 접속하지 않는 사람은 없다. 그리고 여기 성공에 대한 욕망으로 똘똘 뭉쳐 서로를 이기기 위해서 몸을 불사르는 세 여자가 있다. 입바른 소리로 판을 엎는 프로깽판러, 배타미. 분노조절장애의 폭력전과범, 차현. 성공 앞에 가차 없는 청순한 냉미녀, 송가경. 잘 나가고 싶은 이 세 여자에겐 욕망의 계기 같은 거 없다. 이들은 말한다. 성공하고 싶은데 이유가 왜 필요해. 가치관 선명하고 뚜렷한 세 여자들. 틀린 사람은 없다, 아주 많이 다를 뿐. 트렌드를 이끄는 포털사이트, 그 안에서 당당하게 일하는 여자들과 그녀들의 마음을 흔드는 남자들의 리얼 로맨스.",TRUE,2019-06-05,Scripted,https://image.tmdb.org/t/p/w500/s34j381n5B4oARTQ5pctFORZVfS.jpg,드라마|코미디,tvN,16,8.019,6.842,임수정|이다희|전혜진|장기용|이재욱,1
검은 태양,2021년 7월 MBC에서 방영을 시작한 스릴러. 국정원 최고의 현장 요원으로 불리는 한 자루 예리한 칼과 같은 사내. 오로지 조직과 임무에 자신의 모든 걸 걸어온 그에게 예상치 못한 사고가 발생한다. 그리고 그것을 계기로 그때까지 자신도 몰랐던 정보기관의 어두운 이면을 목도하게 되고 처음부터 모든 것을 회의하기 시작한다. 이 드라마는 국정원 최고의 요원이라고 불리는 사내가 자신을 나락으로 떨어뜨린 내부 배신자의 존재를 찾아 나서게 되면서 조직 이면에 존재하고 있던 거대한 괴물과 맞서게 된다는 이야기이다. 그리고 그것을 위해서 자신의 내면에 자리하고 있던 깊은 어둠과 대면하게 되는 과정을 그린 기록이다.,TRUE,2021-09-17,Scripted,https://image.tmdb.org/t/p/w500/stIsbtXpWpEZPfKGt4sKfOQRtuX.jpg,범죄|미스터리|Action & Adventure,MBC,12,7.9,5.9649,남궁민|박하선|김지은|김병기|이경영,1
견우와 선녀,죽음의 운명이 결정된 소년 견우와 그의 목숨을 구하기 위해 나선 MZ 무당 소녀 성아의 첫사랑이 담긴 청춘의 이야기가 시작된다.,TRUE,2025-06-23,Scripted,https://image.tmdb.org/t/p/w500/g0GH6h5UERTa1UhgQOaDITipk5m.jpg,Sci-Fi & Fantasy|드라마|코미디,tvN,12,8.641,10.3158,조이현|추영우|차강윤|추자현|길해연,1
